self_net_price_bins_1,comp_net_price_bins_1,Sale_Prob
0,0,.0367497317492962
0,1,.0649982616305351
0,2,.0916744619607925
0,3,.0993243232369423
0,4,.1003236249089241
1,0,.012506203725934
1,1,.0392378903925419
1,2,.0586635246872902
1,3,.0733982175588608
1,4,.0788829028606415
2,0,.0080572962760925
2,1,.0183852910995483
2,2,.0369738079607487
2,3,.0481438972055912
2,4,.0665593147277832
3,0,.0043586548417807
3,1,.0099511174485087
3,2,.0152133964002132
3,3,.0256951004266739
3,4,.0390843860805035
4,0,.0049446667544544
4,1,.0043541365303099
4,2,.0059456853196025
4,3,.0093466946855187
4,4,.0162531062960625
